variable,gamma,se_hc1,t_stat,p_value,interpretation
topic_1_norm_x_income,-0.1827685341290653,0.11867075148151562,-1.5401312610507372,0.12442426246454498,UPZs pobres lo valoran MÁS
topic_2_norm_x_income,0.0789507932943321,0.13529695117019336,0.5835371204707929,0.5599044220572131,UPZs ricas lo valoran MÁS
topic_3_norm_x_income,-0.2425194239568145,0.10223518400956137,-2.37217183405405,0.018219426645724176,UPZs pobres lo valoran MÁS
topic_4_norm_x_income,-0.23207918722854642,0.09199542703058294,-2.5227252562390308,0.012083746193572876,UPZs pobres lo valoran MÁS
topic_5_norm_x_income,0.4199580400358829,0.11478827691668816,3.6585446817072005,0.0002923337674969938,UPZs ricas lo valoran MÁS
topic_6_norm_x_income,0.052642979313473524,0.10713225421428736,0.49138310119169465,0.6234608910569062,UPZs ricas lo valoran MÁS
log_dist_mean_x_income,0.17395966282656783,0.0957595906895616,1.816629139430214,0.07012188510531776,UPZs ricas lo valoran MÁS
