id_establecimiento,codigo_localidad,demanda_total,M_t,s_j,delta_j
111001000078,16,1078.0,20686.315789473687,0.05211174435171992,0.041367337346843946
111001000124,08,2253.0,118926.74641148325,0.018944434855761395,-0.9705127921884147
111001000132,01,3064.0,30556.84210526316,0.10027214165145198,0.6958649007252276
111001000272,10,2989.0,68328.42105263159,0.04374460808479171,-0.13365464399585036
111001000612,12,680.0,13104.36090225564,0.05189112273937391,0.037124724629624684
111001001121,10,966.0,68328.42105263159,0.014137601676115354,-1.2631849720672705
111001001279,08,2143.0,118926.74641148325,0.018019495737193376,-1.0205687371470815
111001001538,10,2382.0,68328.42105263159,0.03486104264234656,-0.3606530563645429
111001002330,11,2421.0,96130.62656641605,0.025184481642043042,-0.6857950084537388
111001002909,07,5376.0,115661.05263157895,0.04648064216676678,-0.07298707699957774
111001006122,16,1499.0,20686.315789473687,0.0724633625076328,0.3710580839804991
111001006483,10,2550.0,68328.42105263159,0.03731975597732314,-0.2925001681273165
111001008389,12,1284.0,13104.36090225564,0.09798264940787661,0.6727674107093788
111001009521,10,1701.0,68328.42105263159,0.024894472516637907,-0.6973772138839265
111001009580,10,1379.0,68328.42105263159,0.020181938624599455,-0.9072349284864862
111001009652,06,3007.0,33714.73684210527,0.089189484529645,0.5787401407697077
111001009831,03,1194.0,10369.473684210527,0.11514567049030555,0.8341750212633086
111001009971,10,2169.0,68328.42105263159,0.03174374537835839,-0.45432729545291384
111001010031,07,4525.0,115661.05263157895,0.039122936347585506,-0.24531410306853685
111001010251,06,4480.0,33714.73684210527,0.13287957788254393,0.9774202831902095
111001010421,12,1522.0,13104.36090225564,0.11614454236665749,0.8428124648811033
111001010731,13,1777.0,3373.684210526316,0.5267238689547582,2.3546534379663213
111001010740,10,4227.0,68328.42105263159,0.06186298373182154,0.21289899428700165
111001010839,03,1264.0,10369.473684210527,0.12189625418739214,0.891147302017564
111001010910,08,1600.0,118926.74641148325,0.013453659906443958,-1.3127718243927862
111001010928,18,2637.0,56001.05263157895,0.047088400593973796,-0.059996306625828666
111001011011,06,4613.0,33714.73684210527,0.13682444035093194,1.006675641338999
111001011029,18,2033.0,56001.05263157895,0.036302889043439035,-0.3201256793507685
111001011045,16,1743.0,20686.315789473687,0.08425859963362506,0.5218676313979222
111001011053,15,1858.0,12265.12585812357,0.15148641942140278,1.1084729747204827
111001011070,10,1399.0,68328.42105263159,0.02047464259304905,-0.892835831614307
111001011088,12,815.0,13104.36090225564,0.06219303681263196,0.21822003970033466
111001011274,16,1838.0,20686.315789473687,0.08885100753104008,0.5749378887935337
111001011321,08,2616.0,118926.74641148325,0.02199673394703587,-0.8211290200435695
111001011690,08,2971.0,118926.74641148325,0.024981764738778122,-0.6938768571580511
111001011771,10,804.0,68328.42105263159,0.01176669953167365,-1.4467495371008217
111001011819,18,4119.0,56001.05263157895,0.07355218886863028,0.3859722014569651
111001012033,04,1075.0,51416.84210526316,0.020907546165499735,-0.8719128510738292
111001012271,06,1980.0,33714.73684210527,0.05872802772487433,0.1608940814697597
111001012301,04,1108.0,51416.84210526316,0.02154935921058019,-0.8416769243283633
111001012335,04,1865.0,51416.84210526316,0.03627216148712279,-0.3209724595576766
111001012343,08,2451.0,118926.74641148325,0.020609325269183836,-0.8862793490925465
111001012360,08,2350.0,118926.74641148325,0.01976006298758956,-0.9283601254824543
111001012441,10,1084.0,68328.42105263159,0.015864555089967956,-1.1479356242801964
111001012459,10,1249.0,68328.42105263159,0.018279362829677098,-1.0062502961542106
