variable,coef_2sls,se_2sls,pval_2sls
const,-2.81607256971861,0.03313504417408896,0.0
mantenimiento_z,-0.04811402345016089,0.04573222087767023,0.29276216001980226
vegetacion_percibida_z,0.015308818251953571,0.04396867751359847,0.7277083524725967
modernidad_z,0.004759355560068193,0.04096688232259529,0.907513307892303
seguridad_percibida_z,0.10815086077175724,0.03614868969336662,0.002773074621038818
infraestructura_vial_z,0.01681058779828508,0.03085414148089162,0.585863178406111
cerramiento_z,0.02254328389163014,0.029053787876455,0.43779888933223843
log_homicidios_z,-0.4355652766707377,0.035736811529300305,0.0
log_dist_sitp_z,0.024853850737396273,0.026842139942259254,0.35448413885770935
pct_no_oficial_z,-0.4052685410448541,0.03934895577038705,0.0
es_tecnico,0.4507127739135289,0.08843286812152625,3.456878219232351e-07
q_j_z,-0.27818589942375127,0.11325125638789928,0.014035232816432819
