variable,coef,se_hc1,t_stat,p_value,ci95_lo,ci95_hi
const,0.6292390250120806,0.22458402856774012,2.8017977459260264,0.005362076077973028,0.1875480419885503,1.070930008035611
topic_1_norm,0.1277245942530146,0.08436145093774688,1.5140160918672063,0.1309165816326753,-0.03818966256932971,0.2936388510753589
topic_2_norm,-0.07497717888765822,0.08989610147691093,-0.8340426075864422,0.4048210046872459,-0.2517764717160145,0.10182211394069811
topic_3_norm,0.15330281847148805,0.07324562298510405,2.0929963078157616,0.03706289816213081,0.00925013839097491,0.29735549855200116
topic_4_norm,0.17402090078341217,0.0686098029447483,2.5363853751854055,0.011630642690439386,0.039085520467282336,0.308956281099542
topic_5_norm,-0.31292642488196376,0.07926636933249602,-3.9477829944417113,9.521741703114133e-05,-0.46882014900142455,-0.15703270076250295
topic_6_norm,0.02385085867602461,0.07949102760357821,0.3000446640967941,0.7643196966489746,-0.13248470243973323,0.18018641979178243
topic_1_norm_x_income,-0.1827685341290653,0.11867075148151562,-1.5401312610507372,0.12442426246454498,-0.41615913279401795,0.050622064535887384
topic_2_norm_x_income,0.0789507932943321,0.13529695117019336,0.5835371204707929,0.5599044220572131,-0.1871386688261871,0.3450402554148513
topic_3_norm_x_income,-0.2425194239568145,0.10223518400956137,-2.37217183405405,0.018219426645724176,-0.44358607688291246,-0.04145277103071654
topic_4_norm_x_income,-0.23207918722854642,0.09199542703058294,-2.5227252562390308,0.012083746193572876,-0.413007238336827,-0.05115113612026584
topic_5_norm_x_income,0.4199580400358829,0.11478827691668816,3.6585446817072005,0.0002923337674969938,0.19420313130862873,0.645712948763137
topic_6_norm_x_income,0.052642979313473524,0.10713225421428736,0.49138310119169465,0.6234608910569062,-0.15805477590629555,0.2633407345332426
log_dist_mean_x_income,0.17395966282656783,0.0957595906895616,1.816629139430214,0.07012188510531776,-0.014371395331674225,0.36229072098480986
log_dist_mean,-1.0568682817904902,0.22161879271927357,-4.768856777995512,2.7145913451162668e-06,-1.492727514688429,-0.6210090488925515
q_j_norm,-0.1200749383107125,0.03538397042566572,-3.393484023025757,0.000768466545609994,-0.18966484094207342,-0.05048503567935157
log_dist_sitp_norm,0.003428082521897148,0.032141465502964484,0.10665607396093896,0.915122418409467,-0.059784762952282355,0.06664092799607665
log_homicidios_norm,-0.44699122663584206,0.039764259688568206,-11.24102976232064,2.8788986038162627e-25,-0.5251958748606336,-0.3687865784110506
es_tecnico,0.35432906803251346,0.08968447256746798,3.9508407407531805,9.40600322748594e-05,0.1779459872635996,0.5307121488014274
