variable,coef,se_hc1,se_cluster,t_stat_hc1,p_value_hc1,ci95_lo,ci95_hi
const,-0.4960776361103514,0.03293014541459716,0.09220378684730413,-15.064544351828212,4.5759544794202285e-40,-0.5608384723300974,-0.4313167998906053
topic_1_norm,0.002855712930935616,0.032206462443498306,0.031141802480641273,0.08866894139477634,0.9293945967944517,-0.06048191929817223,0.06619334516004347
topic_2_norm,-0.013697689839433891,0.03190736417261402,0.04358735871991764,-0.4292955621571076,0.6679663821004971,-0.0764471116646557,0.04905173198578792
topic_3_norm,-0.0019151495446628945,0.031964967721012545,0.02327462215981801,-0.05991401466061699,0.9522575488809781,-0.06477785522929515,0.06094755613996936
topic_4_norm,-0.001139737960142173,0.027899517209813648,0.02070531913788513,-0.040851529851608705,0.9674370314506808,-0.05600727777470427,0.053727801854419915
topic_5_norm,-0.018061971774633447,0.03162706711504077,0.030904236868802653,-0.5710922137969531,0.5682954567277184,-0.08026015789743617,0.04413621434816928
topic_6_norm,0.04450464064331342,0.029332187477105462,0.032923110215324264,1.5172629275621008,0.13008283326801073,-0.013180406454282333,0.10218968774090917
q_j_norm,-0.11181853782786103,0.03783450936306302,0.04115923198770266,-2.9554641968484714,0.003328769373971444,-0.1862243575856341,-0.03741271807008795
log_dist_sitp_norm,-0.025139951101953408,0.031729158503859385,0.031210118562631093,-0.7923295885359047,0.42869323979317664,-0.08753891142807313,0.03725900922416632
log_hurto_norm,0.006726109221625434,0.030743941728797918,0.08368252407624917,0.21877836228544087,0.8269473710366545,-0.05373531146088192,0.06718752990413279
log_homicidios_norm,-0.5457964035821309,0.031286556700157925,0.07832915658664935,-17.44507741177462,9.221598859446875e-50,-0.6073249376602278,-0.484267869504034
es_rural,-0.1625948284064371,0.19457376210819635,0.2061319682081978,-0.8356462178904843,0.4039113193038453,-0.545246024807262,0.2200563679943878
es_tecnico,0.32222452553307923,0.09254973120657395,0.08252958818843625,3.48163653564659,0.0005599853695019394,0.1402150655264545,0.504233985539704
