condicion,n_asignados,n_sin_asignar,eficiencia_q,equidad_corr,sesgo_visual,rank_medio,blocking_pairs,q_estrato_1,q_estrato_2,q_estrato_3,q_estrato_4,q_estrato_5,q_estrato_6
BM,120097,416934,0.11,0.3706,0.1421,16.527,391923,0.1019,0.1076,0.1153,0.1522,0.1537,0.1237
DA,120097,416934,0.11,0.3598,0.1926,18.262,0,0.101,0.1073,0.1164,0.152,0.1241,0.1095
