condicion,n_asignados,n_sin_asignar,eficiencia_q,equidad_corr,sesgo_visual,rank_medio,blocking_pairs,q_estrato_1,q_estrato_2,q_estrato_3,q_estrato_4,q_estrato_5,q_estrato_6
BM-bias-NMF,1000,0,-0.3117,0.0044,0.0229,8.282,450,-0.3682,-0.2929,-0.3162,-0.2362,-0.6292,-0.4235
BM-true-NMF,1000,0,-0.3117,0.006,0.0256,8.148,437,-0.3515,-0.3035,-0.3039,-0.2562,-0.5818,-0.4235
DA-bias-NMF,1000,0,-0.3117,-0.0032,0.0158,13.886,0,-0.3509,-0.297,-0.3095,-0.3104,-0.6283,-0.2599
DA-true-NMF,1000,0,-0.3117,-0.0057,0.0152,13.605,0,-0.3368,-0.3014,-0.3089,-0.3059,-0.6283,-0.2599
