estrato,condicion,n_asignados,n_sin_asignar,rank_medio,blocking_pairs,equidad_aj,aj_estrato_1,aj_estrato_2,aj_estrato_3,aj_estrato_4,aj_estrato_5,aj_estrato_6,sesgo_visual,qj_medio,qj_estrato_1,qj_estrato_2,qj_estrato_3,qj_estrato_4,qj_estrato_5,qj_estrato_6,rechazo_total,rechazo_estrato_1,rechazo_estrato_2,rechazo_estrato_3,rechazo_estrato_4,rechazo_estrato_5,rechazo_estrato_6,eficiencia_q,equidad_corr,n_familias,a_j_media
TOTAL,BM,97752,2138.0,1.808,8194.0,0.2148,0.0927,0.1111,0.1159,0.1522,0.1392,0.1475,0.1395,257.5962,252.6278,256.6785,262.4381,262.3204,260.2797,255.463,0.0214,0.0245,0.0212,0.0161,0.0582,0.106,0.0448,257.5962,0.2148,,
1,,15254,,,,,,,,,,,,,,,,,,,,,,,,,,,,15637.0,0.0927
2,,55901,,,,,,,,,,,,,,,,,,,,,,,,,,,,57109.0,0.1111
3,,24749,,,,,,,,,,,,,,,,,,,,,,,,,,,,25154.0,0.1159
4,,1278,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357.0,0.1522
5,,506,,,,,,,,,,,,,,,,,,,,,,,,,,,,566.0,0.1392
6,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,0.1475
