condicion,n_asignados,n_sin_asignar,eficiencia_q,equidad_corr,sesgo_visual,rank_medio,blocking_pairs,q_estrato_1,q_estrato_2,q_estrato_3,q_estrato_4,q_estrato_5,q_estrato_6
BM-bias,1000,0,-0.3128,-0.0076,-0.0119,7.52,444,-0.3246,-0.3013,-0.3261,-0.2971,-0.4329,-0.4266
BM-true,1000,0,-0.3128,0.0006,-0.0005,7.79,422,-0.3438,-0.3157,-0.2688,-0.3855,-0.73,-0.4266
DA-bias,1000,0,-0.3128,-0.0399,0.0471,11.955,0,-0.3304,-0.2728,-0.363,-0.3499,-0.7171,-0.2631
DA-true,1000,0,-0.3128,-0.0148,0.0258,12.71,0,-0.3368,-0.29,-0.337,-0.3073,-0.5494,-0.2631
