COD_UPZ_GRUPO,n_hogares_muestra,poblacion_expandida,tasa_pobreza_monetaria,tasa_pobreza_extrema,tasa_ipm,ingreso_percapita_promedio,capacidad_pago_promedio,tamano_hogar_promedio,gasto_educ_promedio,tasa_deficit_cuantitativo,tasa_deficit_cualitativo,tasa_deficit_habitacional,pct_estrato_1,pct_estrato_2,pct_estrato_3,pct_estrato_4,pct_estrato_5,pct_estrato_6
009,2513,128723.99999750001,0.28274216973685445,0.052902995020604214,0.049010722297493294,1102998.6224623476,0.29139413861229047,3.478807982777081,430644.8686486139,0.007494642755964206,0.12019643744368175,0.12769108019964595,0.07089799828918651,0.2641141736238796,0.5290367794577747,0.10829649240522933,0.026607820255480863,0.0
011,2557,71662.00000530001,0.43001058263544056,0.17804437798912062,0.06249721103888761,903931.2798997519,0.4078833059325474,3.548192365972127,337571.6916232683,0.01705054246755089,0.1682438770353647,0.18529441950291559,0.09787940605734195,0.22150087347863642,0.6549784201156625,0.010975616864472513,0.014665683483886464,0.0
012,2488,61972.000004899994,0.1281535206846971,0.042992168769594954,0.010513101491778318,2106303.128725721,0.06229278691820122,3.226040221333706,677135.8699587139,0.0020991996222441416,0.07327320582103146,0.0753724054432756,0.0011143523090192294,0.028952487067677873,0.365024685569473,0.6019758649269077,0.0029326101269223233,0.0
013,2337,131965.9999928,0.04503606547159313,0.031391087665959536,0.0035858820955838497,3477195.6876199474,0.0,2.724493639323889,1400990.2796963418,0.0010051764636894143,0.005101073935989025,0.006106250399678439,0.0,0.001613537308182543,0.013501922248133713,0.7071300451926357,0.24940104998253862,0.02835344526850965
014,2274,42320.000006400005,0.08624801561077534,0.033970144349777666,0.012461623481102212,4977485.113864653,0.0431552119003735,2.8759152010064777,1694394.9319776841,0.00023893811905649327,0.04253251962967372,0.04277145774873021,0.0,0.12426449529784277,0.018146620150847392,0.09767336957643881,0.4449366391742062,0.3144976200776752
018,2252,94099.0000031,0.08604401146381219,0.028303030750722758,0.020147727388575246,2128942.199888271,0.04892277702683704,3.161901956221619,749895.7913699095,0.0022137332808333503,0.053028510848527735,0.05524224412936109,0.00040298349290375827,0.014230860682428978,0.647737200580155,0.2931855794779023,0.044443375766609915,0.0
019,2328,104663.00000550001,0.09334119784151632,0.04204897427714407,0.010925283343109894,2739435.1355945584,0.07123582031671367,3.1607805944652427,1010343.8034544173,0.00631632853888442,0.03868505028221274,0.04500137882109716,0.0,0.0,0.36899365767721665,0.4880592489439025,0.1424651160774719,0.0004819773014087989
020,2228,42593.999998700005,0.03909165761728927,0.03277938360197711,0.0019863639902939914,4413655.268452493,0.0,2.748395075402003,1403239.7442414132,0.0013097545006738665,0.00908164873718848,0.010391403237862347,0.0,0.0,0.009716330830929971,0.020361190107209215,0.9675705067464394,0.0023519723154213634
021,2267,30426.999922500003,0.14052971991294091,0.0684748258489762,0.016833666326111975,1932826.3868923185,0.06241931143844271,3.210345565363058,631055.7282888475,0.0057608182813443124,0.030539496781372168,0.03630031506271648,0.002931719191087134,0.0021562413174847565,0.48046662261925793,0.3878288944508738,0.12661652242129623,0.0
023,2279,60406.9999925,0.10116089956890272,0.04992887687477389,0.009817742537679955,2859027.0612885356,0.022325327584012445,3.2211755348694493,1578777.934124062,0.0025029556677003025,0.031089743714026074,0.033592699381726376,0.0,0.053595640934030284,0.1028875800051593,0.45664322908313315,0.3330758921714051,0.05379765780627215
